[2025-08-01 12:07:25,452] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2025-08-01 12:07:32,439] 34 tensorflow - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2025-08-01 12:07:33,624] 47 h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-08-01 12:07:33,624] 47 h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-08-01 12:07:33,624] 47 h5py._conv - DEBUG - Creating converter from 7 to 5
[2025-08-01 12:07:33,624] 47 h5py._conv - DEBUG - Creating converter from 5 to 7
[2025-08-01 12:07:36,752] 342 matplotlib - DEBUG - matplotlib data path: C:\Users\chand\anaconda3\Lib\site-packages\matplotlib\mpl-data
[2025-08-01 12:07:36,761] 342 matplotlib - DEBUG - CONFIGDIR=C:\Users\chand\.matplotlib
[2025-08-01 12:07:36,765] 1557 matplotlib - DEBUG - interactive is False
[2025-08-01 12:07:36,765] 1558 matplotlib - DEBUG - platform is win32
[2025-08-01 12:07:36,868] 342 matplotlib - DEBUG - CACHEDIR=C:\Users\chand\.matplotlib
[2025-08-01 12:07:36,882] 1635 matplotlib.font_manager - DEBUG - Using fontManager instance from C:\Users\chand\.matplotlib\fontlist-v390.json
